SentenceIndex,TokenIndex,Token,PrevToken,NextToken,TrueLabel,PredLabel
15,1,bir,İkinci,çocuk,NUM,DET
21,12,3,Türkiye,.,NOUN,NUM
26,4,na,',bağlı,PROPN,NOUN
39,0,Bu,,da,PRON,DET
67,8,un,',ardından,NOUN,PROPN
82,14,1939,Şubat,",",NUM,PROPN
114,0,Spektor,,",",NOUN,PROPN
117,6,siz,",",bir,PRON,ADJ
120,5,kişilik,10579,nüfusunun,ADJ,NOUN
131,18,ın,',72,NOUN,PROPN
150,18,e,',kadar,NUM,ADP
151,8,gereksizler,kadar,.,NOUN,VERB
153,26,nin,',ve,PROPN,NOUN
163,14,bir,aşağüı,yukarı,ADV,DET
167,5,in,',en,NOUN,PROPN
169,2,var,gerek,",",VERB,ADJ
174,9,te,',kurucu,CCONJ,NOUN
198,9,güneybatıda,ve,ki,PROPN,NOUN
213,14,1878,1877,Osmanlı,NUM,NOUN
240,11,nın,',",",PROPN,NOUN
242,18,bir,boynunda,altın,NUM,DET
247,8,i,',Almanya,NOUN,ADP
253,8,Kuzey,tarafından,Kore,ADJ,PROPN
260,0,Böyle,,bir,ADV,ADJ
261,0,2001,,Akdeniz,PROPN,NUM
268,2,bir,Streetlilerin,hamburgere,NUM,DET
286,1,bir,Hep,gün,NUM,DET
286,12,bir,‘,gün,NUM,DET
307,10,nda,',Amerika,PROPN,NOUN
312,16,geleceğin,",","""",ADJ,NOUN
